URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/ModifiedAdministrativeGender"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/subscription-channel-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.501",SubscriptionChannelType,SubscriptionChannelType,"The type of method used to execute a subscription.","ValueSet/subscription-channel-type"
http://hl7.org/fhir/subscription-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.503",SubscriptionStatus,SubscriptionStatus,"The status of a subscription.","ValueSet/subscription-status"
http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20251001,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT core,"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/MeltingPotVS,ValueSet/EyeColorVS"
http://terminology.hl7.org/CodeSystem/communication-category,1.0.1,active,"2.16.840.1.113883.4.642.1.1076",CommunicationCategory,CommunicationCategory,"Codes for general categories of communications such as alerts, instructions, etc.","ValueSet/communication-category"
http://terminology.hl7.org/CodeSystem/v3-ActReason,3.1.0,active,"2.16.840.1.113883.5.8",ActReason,ActReason,"A set of codes specifying the motivation, cause, or rationale of an Act, when such rationale is not reasonably represented as an ActRelationship of type ""has reason"" linking to another Act.    *Examples:* Example reasons that might qualify for being coded in this field might be: ""routine requirement"", ""infectious disease reporting requirement"", ""on patient request"", ""required by law"".","ValueSet/v3-ActReason"
http://terminology.hl7.org/CodeSystem/v3-ParticipationMode,4.0.0,active,"2.16.840.1.113883.5.1064",ParticipationMode,ParticipationMode,"A set of codes specifying the modality by which the Entity playing the Role is participating in the Act.    *Examples:* Physically present, over the telephone, written communication.    *Rationale:* Particularly for author (originator) participants this is used to specify whether the information represented by the act was initially provided verbally, (hand-)written, or electronically.    *Open Issue:* There needs to be a reexamination of the hierarchies as there seems to be some muddling between ELECTRONIC and other concepts that involve electronic communication that are in other hierarchies.","ValueSet/v3-ParticipationMode"
https://interop.esante.gouv.fr/ig/fhir/[code]/CodeSystem/competence-code-system,0.1.0,draft,,CompetenceCS,Compétences CodeSystem,"Compétences des professionnels de santé.","ValueSet/MeltingPotVS"
https://interop.esante.gouv.fr/ig/fhir/[code]/CodeSystem/type-carte-code-system,0.1.0,draft,,TypeCarteCS,Type de carte,"Type de carte professionnelle et personnelle.","ValueSet/MeltingPotVS,ValueSet/TypeCarteVS"
https://mos.esante.gouv.fr/NOS/TRE_R254-TypeEvenement/FHIR/TRE-R254-TypeEvenement,20240329120000,active,"1.2.250.1.213.1.1.4.337",TRE_R254_TypeEvenement,,"Liste de types d'évènement","ValueSet/JDV-J46-TypeEvenementNotification-CISIS"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
